sep=,
time,Kavadarci
2018-03-1 00:00:00,55.22
2018-03-1 01:00:00,73.62
2018-03-1 02:00:00,68.62
2018-03-1 03:00:00,79.24
2018-03-1 04:00:00,63.93
2018-03-1 05:00:00,69.1499
2018-03-1 06:00:00,74.22
2018-03-1 07:00:00,92.62
2018-03-1 08:00:00,90.9199
2018-03-1 09:00:00,86.7599
2018-03-1 10:00:00,80.71
2018-03-1 11:00:00,65.4099
2018-03-1 12:00:00,77.1899
2018-03-1 13:00:00,58.09
2018-03-1 14:00:00,115.59
2018-03-1 15:00:00,105.28
2018-03-1 16:00:00,130.39
2018-03-1 17:00:00,126.08
2018-03-1 18:00:00,116.42
2018-03-1 19:00:00,84.35
2018-03-1 20:00:00,232.44
2018-03-1 21:00:00,395.94
2018-03-1 22:00:00,135.24
2018-03-1 23:00:00,137.33
2018-03-2 00:00:00,147.06
2018-03-2 01:00:00,93.24
2018-03-2 02:00:00,66.0299
2018-03-2 03:00:00,89.1
2018-03-2 04:00:00,50.0099
2018-03-2 05:00:00,42.1
2018-03-2 06:00:00,80.3099
2018-03-2 07:00:00,89.61
2018-03-2 08:00:00,127.2
2018-03-2 09:00:00,71.3799
2018-03-2 10:00:00,77.1299
2018-03-2 11:00:00,102.14
2018-03-2 12:00:00,83.8999
2018-03-2 13:00:00,59.35
2018-03-2 14:00:00,29.26
2018-03-2 15:00:00,46.36
2018-03-2 16:00:00,47.31
2018-03-2 17:00:00,60.48
2018-03-2 18:00:00,61.21
2018-03-2 19:00:00,133.11
2018-03-2 20:00:00,279.18
2018-03-2 21:00:00,289.85
2018-03-2 22:00:00,199.68
2018-03-2 23:00:00,201.15
2018-03-3 00:00:00,87.3899
2018-03-3 01:00:00,48.79
2018-03-3 02:00:00,109.57
2018-03-3 03:00:00,59.12
2018-03-3 04:00:00,11.06
2018-03-3 05:00:00,1.68
2018-03-3 06:00:00,22.86
2018-03-3 07:00:00,18.49
2018-03-3 08:00:00,57.16
2018-03-3 09:00:00,57.67
2018-03-3 10:00:00,18.7
2018-03-3 11:00:00,41.02
2018-03-3 12:00:00,39.17
2018-03-3 13:00:00,38.35
2018-03-3 14:00:00,33.86
2018-03-3 15:00:00,29.74
2018-03-3 16:00:00,29.69
2018-03-3 17:00:00,96.1899
2018-03-3 18:00:00,241.78
2018-03-3 19:00:00,200.04
2018-03-3 20:00:00,89.1
2018-03-3 21:00:00,218.96
2018-03-3 22:00:00,255.23
2018-03-3 23:00:00,139.02
2018-03-4 00:00:00,111.96
2018-03-4 01:00:00,40.14
2018-03-4 02:00:00,23.3
2018-03-4 03:00:00,20.89
2018-03-4 04:00:00,32.9399
2018-03-4 05:00:00,21.59
2018-03-4 06:00:00,22.86
2018-03-4 07:00:00,27.77
2018-03-4 08:00:00,31.23
2018-03-4 09:00:00,17.65
2018-03-4 10:00:00,24.48
2018-03-4 11:00:00,21.47
2018-03-4 12:00:00,27.31
2018-03-4 13:00:00,13.44
2018-03-4 14:00:00,16.88
2018-03-4 15:00:00,6.27
2018-03-4 16:00:00,24.84
2018-03-4 17:00:00,15.59
2018-03-4 18:00:00,18.47
2018-03-4 19:00:00,40.9
2018-03-4 20:00:00,179.54
2018-03-4 21:00:00,222.32
2018-03-4 22:00:00,124.8
2018-03-4 23:00:00,55.84
2018-03-5 00:00:00,94.74
2018-03-5 01:00:00,74.47
2018-03-5 02:00:00,58.5699
2018-03-5 03:00:00,43.18
2018-03-5 04:00:00,41.93
2018-03-5 05:00:00,54.67
2018-03-5 06:00:00,56.17
2018-03-5 07:00:00,67.1699
2018-03-5 08:00:00,72.5099
2018-03-5 09:00:00,68.45
2018-03-5 10:00:00,77.24
2018-03-5 11:00:00,60.7599
2018-03-5 12:00:00,58.8199
2018-03-5 13:00:00,52.72
2018-03-5 14:00:00,30.04
2018-03-5 15:00:00,49.21
2018-03-5 16:00:00,76.86
2018-03-5 17:00:00,33.6299
2018-03-5 18:00:00,26.89
2018-03-5 19:00:00,41.49
2018-03-5 20:00:00,30.59
2018-03-5 21:00:00,37.62
2018-03-5 22:00:00,41.78
2018-03-5 23:00:00,31.66
2018-03-6 00:00:00,63.89
2018-03-6 01:00:00,33.28
2018-03-6 02:00:00,42.5699
2018-03-6 03:00:00,40.5
2018-03-6 04:00:00,41.34
2018-03-6 05:00:00,27.31
2018-03-6 06:00:00,31.64
2018-03-6 07:00:00,35.52
2018-03-6 08:00:00,91.6699
2018-03-6 09:00:00,37.27
2018-03-6 10:00:00,13.43
2018-03-6 11:00:00,26.78
2018-03-6 12:00:00,33.41
2018-03-6 13:00:00,14.48
2018-03-6 14:00:00,15.8
2018-03-6 15:00:00,30.7
2018-03-6 16:00:00,33.29
2018-03-6 17:00:00,37.8199
2018-03-6 18:00:00,40.2599
2018-03-6 19:00:00,51.58
2018-03-6 20:00:00,36.7599
2018-03-6 21:00:00,42.6899
2018-03-6 22:00:00,96.09
2018-03-6 23:00:00,37.21
2018-03-7 00:00:00,40.8
2018-03-7 01:00:00,49.46
2018-03-7 02:00:00,39.3199
